Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0259G00029 CORD FOR 9 PIN          ,7.97,1.0,1.0,60.0,10,75,152.97,221.81,199.63
0259G00029S WIRE HARNESS ASSY      ,11.97,1.0,1.0,60.0,10,75,156.97,227.61,204.85
0259G00045 12 PIN MALE PLUG        ,8.17,1.0,1.0,60.0,10,75,153.17,222.1,199.89
0259G00113S WIRE HARNESS ASSY      ,12.32,1.0,1.0,60.0,10,75,157.32,228.11,205.3
0259G00155 BLOWER HARNESS          ,13.49,1.0,1.0,60.0,10,75,158.49,229.81,206.83
0259G00155S WIRE HARNESS ASSY      ,21.81,1.0,1.0,60.0,10,75,166.81,241.87,217.69
0259G00159 WIRING HARNESS          ,33.68,1.0,1.0,60.0,10,75,178.68,259.09,233.18
0259G00159S WIRING HARNESS         ,40.33,1.0,1.0,60.0,10,75,185.33,268.73,241.86
0259G00209S WIRE HARNESS ASSY      ,24.4,1.0,1.0,60.0,10,75,169.4,245.63,221.07
0259M00004 WIRE HARNESS ADAPTOR    ,8.24,1.0,1.0,60.0,10,75,153.24,222.2,199.98
0259M00008 WIRE HARNESS            ,7.68,1.0,1.0,60.0,10,75,152.68,221.39,199.25
0260G00025PS LEFT SIDE PNL 32.5    ,116.54,1.0,1.0,60.0,10,75,261.54,379.23,341.31
0260G00026PS BLOWER DOOR           ,121.79,0.5,1.0,30.0,10,75,236.79,343.35,309.01
0263A00000 TOP PLATE KIT           ,66.57,1.0,1.0,60.0,10,75,211.57,306.78,276.1
0263M00008 70W CC HTR              ,47.02,1.0,1.0,60.0,10,75,192.02,278.43,250.59
0270A00132S BLOWER HOUSING ASSBY   ,113.98,1.0,1.0,60.0,10,75,258.98,375.52,337.97
0270A00287S EVAP COIL              ,313.0,3.0,1.2,216.0,10,75,614.0,890.3,801.27
0270A00288S EVAP COIL              ,312.9,3.0,1.2,216.0,10,75,613.9,890.16,801.14
0270A00289S COIL                   ,338.03,3.0,1.2,216.0,10,75,639.03,926.59,833.93
0270A00290S EVAPORATOR COIL        ,344.11,3.0,1.2,216.0,10,75,645.11,935.41,841.87
0270A00411S ALUM COIL              ,601.67,3.0,1.2,216.0,10,75,902.67,1308.87,1177.98
0270A00413S AL CL NO SUB TO 416S   ,691.84,1.0,1.0,60.0,10,75,836.84,1213.42,1092.08
0270A00416S ALUM COIL              ,711.57,3.0,1.2,216.0,10,75,1012.57,1468.23,1321.4
0270A00418S ALUM COIL *DISC*       ,492.13,3.0,1.2,216.0,10,75,793.13,1150.04,1035.03
0270A00419S ALUM COIL              ,541.22,3.0,1.2,216.0,10,75,842.22,1221.22,1099.1
0270A00423S ALUM COIL              ,360.86,3.0,1.2,216.0,10,75,661.86,959.7,863.73
0270A00498S COIL W/TXV *DISC*      ,1166.48,3.0,1.2,216.0,10,75,1467.48,2127.85,1915.06
0270A00499S COIL W/TXV             ,746.78,3.0,1.2,216.0,10,75,1047.78,1519.28,1367.35
0270A00668S COIL ASY ARUF42C14AA   ,416.19,3.0,1.2,216.0,10,75,717.19,1039.93,935.93
0270A00669S COIL ASY ARUF36C14AA   ,393.97,3.0,1.2,216.0,10,75,694.97,1007.71,906.94
0270A00671S COIL ASY ARUF30B14AA   ,564.63,3.0,1.2,216.0,10,75,865.63,1255.16,1129.65
0270A00672S COIL ASY ARPT**B14AA   ,446.49,3.0,1.2,216.0,10,75,747.49,1083.86,975.47
0270A00680S COIL ASY ARPT4860D14   ,1038.08,3.0,1.2,216.0,10,75,1339.08,1941.67,1747.5
0270A00681S COIL ASY ARPT30B14AA   ,517.87,3.0,1.2,216.0,10,75,818.87,1187.36,1068.63
0270A00682S COIL ASY ARPT36D14AA   ,646.95,3.0,1.2,216.0,10,75,947.95,1374.53,1237.07
0270A00683S COIL ASY ARUF24B14AA   ,469.71,3.0,1.2,216.0,10,75,770.71,1117.53,1005.78
0270A00684S COIL ASY ARUF60D14AA   ,515.71,3.0,1.2,216.0,10,75,816.71,1184.23,1065.81
0270A00686S COIL ASY ARPT42D14AA   ,647.63,3.0,1.2,216.0,10,75,948.63,1375.51,1237.96
0270A00691S COIL ASY ARPT36C14AA   ,858.03,3.0,1.2,216.0,10,75,1159.03,1680.59,1512.53
0270A00694S COIL ASY ARUF60D14AA   ,649.87,3.0,1.2,216.0,10,75,950.87,1378.76,1240.89
0270A00695S EVAP COIL ARUF18B14    ,497.86,3.0,1.2,216.0,10,75,798.86,1158.35,1042.51
0270A00697S  COIL                  ,762.22,3.0,1.2,216.0,10,75,1063.22,1541.67,1387.5
0270A00700S COIL TUBING ASSY       ,598.51,3.0,1.2,216.0,10,75,899.51,1304.29,1173.86
0270A00701S COIL ASY ARUF36C       ,530.59,3.0,1.2,216.0,10,75,831.59,1205.81,1085.22
0270A00702S COIL                   ,909.51,3.0,1.2,216.0,10,75,1210.51,1755.24,1579.72
0270A00704S  COIL ASSY             ,931.03,3.0,1.2,216.0,10,75,1232.03,1786.44,1607.8
0270A00705S COIL TUBING ASSY       ,1017.54,3.0,1.2,216.0,10,75,1318.54,1911.88,1720.69
0270A00706S COIL                   ,770.38,3.0,1.2,216.0,10,75,1071.38,1553.5,1398.15
0270A00794S COIL                   ,450.06,3.0,1.2,216.0,10,75,751.06,1089.04,980.13
0270A00796S COIL TUBING ASSY       ,501.24,3.0,1.2,216.0,10,75,802.24,1163.25,1046.92
0270A00797S COIL                   ,527.86,3.0,1.2,216.0,10,75,828.86,1201.85,1081.66
0270A00799S COIL                   ,696.06,3.0,1.2,216.0,10,75,997.06,1445.74,1301.16
0270A00810S EVAP COIL              ,450.35,3.0,1.2,216.0,10,75,751.35,1089.46,980.51
0270A00819S COIL                   ,530.63,3.0,1.2,216.0,10,75,831.63,1205.86,1085.28
0270A00820S COIL TUBING ASSY       ,800.25,3.0,1.2,216.0,10,75,1101.25,1596.81,1437.13
0270A00821S COIL                   ,702.33,3.0,1.2,216.0,10,75,1003.33,1454.83,1309.35
0270A00822S COIL                   ,883.59,3.0,1.2,216.0,10,75,1184.59,1717.66,1545.89
0270A00824S COIL                   ,1214.78,3.0,1.2,216.0,10,75,1515.78,2197.88,1978.09
0270A00839S COIL                   ,287.98,3.0,1.2,216.0,10,75,588.98,854.02,768.62
0270A00840S COIL                   ,323.29,3.0,1.2,216.0,10,75,624.29,905.22,814.7
0270A00841S EVAPORATOR COIL        ,364.75,3.0,1.2,216.0,10,75,665.75,965.34,868.8
0270A00854S EVAPORATOR COIL        ,962.16,3.0,1.2,216.0,10,75,1263.16,1831.58,1648.42
0270A00857S EVAPORATOR COIL        ,1113.38,3.0,1.2,216.0,10,75,1414.38,2050.85,1845.77
0270A00903 EVAP COIL               ,793.42,3.0,1.2,216.0,10,75,1094.42,1586.91,1428.22
0270A00903S EVAP COIL              ,793.67,3.0,1.2,216.0,10,75,1094.67,1587.27,1428.54
0270A00904S COIL TUBING ASSY       ,924.19,3.0,1.2,216.0,10,75,1225.19,1776.53,1598.87
0270A00912S COIL TUBING ASSY       ,329.76,3.0,1.2,216.0,10,75,630.76,914.6,823.14
0270A00912SP COIL TUBING ASSY      ,459.38,3.0,1.2,216.0,10,75,760.38,1102.55,992.3
0270A00913S ALUM COIL *DISC*       ,468.56,3.0,1.2,216.0,10,75,769.56,1115.86,1004.28
0270A00914S ALUM COIL              ,639.0,3.0,1.2,216.0,10,75,940.0,1363.0,1226.7
0270A00914SP ALUM COIL             ,512.92,3.0,1.2,216.0,10,75,813.92,1180.18,1062.17
0270A00915S ALUM COIL              ,961.37,3.0,1.2,216.0,10,75,1262.37,1830.44,1647.39
0270A00915SP ALUM COIL TUBING      ,624.4,3.0,1.2,216.0,10,75,925.4,1341.83,1207.65
0270A00975S EVAP COIL              ,754.68,3.0,1.2,216.0,10,75,1055.68,1530.74,1377.66
0270A00976S COIL TUBING ASSY       ,708.4,3.0,1.2,216.0,10,75,1009.4,1463.63,1317.27
0270A00977S COIL TUBING ASSY       ,795.19,3.0,1.2,216.0,10,75,1096.19,1589.48,1430.53
0270A00978S EVAP COIL              ,807.21,3.0,1.2,216.0,10,75,1108.21,1606.9,1446.21
0270A00979S EVAP COIL              ,617.33,3.0,1.2,216.0,10,75,918.33,1331.58,1198.42
0270A00980S EVAP COIL              ,487.63,3.0,1.2,216.0,10,75,788.63,1143.51,1029.16
0270A01026S COIL TUBING ASSY       ,929.32,3.0,1.2,216.0,10,75,1230.32,1783.96,1605.57
0270A01027S COIL TUBING ASSY       ,1049.02,3.0,1.2,216.0,10,75,1350.02,1957.53,1761.78
0270A01028S COIL TUBING ASSY       ,1025.76,3.0,1.2,216.0,10,75,1326.76,1923.8,1731.42
0270A01029S COIL TUBING ASSY       ,1151.65,3.0,1.2,216.0,10,75,1452.65,2106.34,1895.71
0270A01031S EVAPORATOR COIL        ,1097.06,3.0,1.2,216.0,10,75,1398.06,2027.19,1824.47
0270A01034S EVAP COIL TUBING ASS   ,1145.65,3.0,1.2,216.0,10,75,1446.65,2097.64,1887.88
0270A01081S EVAP COIL              ,965.78,3.0,1.2,216.0,10,75,1266.78,1836.83,1653.15
0270A01086S EVAPORATOR COIL        ,1031.52,3.0,1.2,216.0,10,75,1332.52,1932.15,1738.94
0270A01097S EVAP COIL              ,1217.9,3.0,1.2,216.0,10,75,1518.9,2202.41,1982.16
0270A01126S ALUM COIL              ,1074.86,3.0,1.2,216.0,10,75,1375.86,1995.0,1795.5
0270A01127S COIL                   ,691.08,3.0,1.2,216.0,10,75,992.08,1438.52,1294.66
0270A01128S COIL W/TXV             ,870.11,3.0,1.2,216.0,10,75,1171.11,1698.11,1528.3
0270A01129S COIL                   ,976.73,3.0,1.2,216.0,10,75,1277.73,1852.71,1667.44
0270A01130S COIL W/TXV             ,1076.32,3.0,1.2,216.0,10,75,1377.32,1997.11,1797.4
0270A01154S COIL                   ,269.76,3.0,1.2,216.0,10,75,570.76,827.6,744.84
0270A01154SLP COIL TUBING ASSY     ,209.19,3.0,1.2,216.0,10,75,510.19,739.78,665.8
0270A01154SP COIL TUBING ASSY      ,426.17,3.0,1.2,216.0,10,75,727.17,1054.4,948.96
0270A01164S COIL TUBING ASSY       ,299.17,3.0,1.2,216.0,10,75,600.17,870.25,783.22
0270A01164SLP EVAP COIL            ,235.32,3.0,1.2,216.0,10,75,536.32,777.66,699.9
0270A01167S COIL                   ,308.56,3.0,1.2,216.0,10,75,609.56,883.86,795.48
0270A01167SLP COIL TUBING ASSY     ,252.92,3.0,1.2,216.0,10,75,553.92,803.18,722.87
0270A01167SP COIL TUBING ASSY      ,236.92,3.0,1.2,216.0,10,75,537.92,779.98,701.99
0270A01168S EVAPORATOR COIL        ,366.56,3.0,1.2,216.0,10,75,667.56,967.96,871.17
0270A01168SLP COIL TUBING ASSY     ,374.71,3.0,1.2,216.0,10,75,675.71,979.78,881.8
0270A01168SP EVAPORATOR COIL       ,295.49,3.0,1.2,216.0,10,75,596.49,864.91,778.42
0270A01429S ALUM COIL              ,790.37,3.0,1.2,216.0,10,75,1091.37,1582.49,1424.24
0270A01429SP ALUM COIL             ,696.35,3.0,1.2,216.0,10,75,997.35,1446.16,1301.54
0270A01504S EVAP COIL              ,475.9,3.0,1.2,216.0,10,75,776.9,1126.5,1013.85
0270A01516S EVAP COIL              ,621.19,3.0,1.2,216.0,10,75,922.19,1337.18,1203.46
0270A01517S EVAP COIL              ,721.46,3.0,1.2,216.0,10,75,1022.46,1482.57,1334.31
0270A01671S EVAP COIL              ,1088.29,3.0,1.2,216.0,10,75,1389.29,2014.47,1813.02
0270A01676S EVAP COIL              ,798.87,3.0,1.2,216.0,10,75,1099.87,1594.81,1435.33
0270A01677S EVAP COIL              ,883.0,3.0,1.2,216.0,10,75,1184.0,1716.8,1545.12
0270A01678S EVAP COIL              ,935.4,3.0,1.2,216.0,10,75,1236.4,1792.78,1613.5
0270A01679S EVAP COIL              ,935.6,3.0,1.2,216.0,10,75,1236.6,1793.07,1613.76
0270A01682S EVAP COIL              ,1032.59,3.0,1.2,216.0,10,75,1333.59,1933.71,1740.33
0270A01683S EVAP COIL              ,1110.3,3.0,1.2,216.0,10,75,1411.3,2046.38,1841.75
0270A01690S EVAP COIL              ,935.4,3.0,1.2,216.0,10,75,1236.4,1792.78,1613.5
0270A01791S EVAP COIL              ,711.59,3.0,1.2,216.0,10,75,1012.59,1468.26,1321.43
0270A01792S EVAP COIL              ,781.9,3.0,1.2,216.0,10,75,1082.9,1570.21,1413.18
0270A01850S COIL TUBING ASSY       ,889.27,3.0,1.2,216.0,10,75,1190.27,1725.89,1553.3
0270A01851S COIL TUBING ASSY       ,894.06,3.0,1.2,216.0,10,75,1195.06,1732.84,1559.55
0270A01908S COIL TUBING ASSY       ,621.03,3.0,1.2,216.0,10,75,922.03,1336.94,1203.25
0270A01918S COIL TUBING ASSY       ,756.19,3.0,1.2,216.0,10,75,1057.19,1532.93,1379.63
0270A01919S COIL TUBING ASSY       ,699.54,3.0,1.2,216.0,10,75,1000.54,1450.78,1305.7
0270A01956S COIL TUBING ASSY       ,702.49,3.0,1.2,216.0,10,75,1003.49,1455.06,1309.55
0270D00395SLP SV COIL CSCF1824N6   ,374.97,3.0,1.2,216.0,10,75,675.97,980.16,882.14
0270D00396SLP SV COIL CSCF3036N6   ,457.35,3.0,1.2,216.0,10,75,758.35,1099.61,989.65
0270D00397SLP SV COIL CSCF3642N6   ,568.51,3.0,1.2,216.0,10,75,869.51,1260.79,1134.71
0270D00398SLP SV COIL CSCF4860N6   ,627.17,3.0,1.2,216.0,10,75,928.17,1345.85,1211.26
0270D00611S SVC COIL CAPF3743C6    ,569.83,3.0,1.2,216.0,10,75,870.83,1262.7,1136.43
0270D00612S SVC COIL CAPT3743D4    ,585.89,3.0,1.2,216.0,10,75,886.89,1285.99,1157.39
0270D00613S SVC COIL CAPT4961C4    ,679.86,3.0,1.2,216.0,10,75,980.86,1422.25,1280.02
0270D00614S SVC COIL CAPT4961D4    ,690.33,3.0,1.2,216.0,10,75,991.33,1437.43,1293.69
0270D00615S SVC COIL CHPF1824A6    ,462.97,3.0,1.2,216.0,10,75,763.97,1107.76,996.98
0270D00617S SVC COIL CHPF2430B6&   ,559.17,3.0,1.2,216.0,10,75,860.17,1247.25,1122.52
0270D00618S SVC COIL CHPF3642C6    ,580.1,3.0,1.2,216.0,10,75,881.1,1277.6,1149.84
0270D00620S SVC COIL CHPF3743C6    ,659.3,3.0,1.2,216.0,10,75,960.3,1392.44,1253.19
0270D00622S SVC COIL CHPF4860D6    ,790.63,3.0,1.2,216.0,10,75,1091.63,1582.86,1424.58
0270D00626S SVC COIL CAPF4860D6    ,607.19,3.0,1.2,216.0,10,75,908.19,1316.88,1185.19
0270D00646S SVC COIL CAPF3137B6    ,581.22,3.0,1.2,216.0,10,75,882.22,1279.22,1151.3
0270D00926S SVC COIL CHPE2430B4    ,937.49,3.0,1.2,216.0,10,75,1238.49,1795.81,1616.23
0270D00927S SVC COIL CHPE3636B4    ,978.05,3.0,1.2,216.0,10,75,1279.05,1854.62,1669.16
0270D00928S SVC COIL CHPE3642C4    ,986.63,3.0,1.2,216.0,10,75,1287.63,1867.06,1680.36
0270D00929S SVC COIL CHPE3743C4    ,1079.67,3.0,1.2,216.0,10,75,1380.67,2001.97,1801.77
0270D00930S SVC COIL CHPE3743D4    ,1103.02,3.0,1.2,216.0,10,75,1404.02,2035.83,1832.25
0270D00987S SVC COIL CHPE4860D4    ,1220.92,3.0,1.2,216.0,10,75,1521.92,2206.78,1986.11
0270D01062S SVC COIL CAPE4860C4    ,1118.33,3.0,1.2,216.0,10,75,1419.33,2058.03,1852.23
0270D01063S SVC COIL CAPE4860D4    ,1162.25,3.0,1.2,216.0,10,75,1463.25,2121.71,1909.54
0270D01064S SVC COIL CAPE4961C4    ,1233.24,3.0,1.2,216.0,10,75,1534.24,2224.65,2002.18
0270D01065S SVC COIL CAPE4961D4    ,1274.9,3.0,1.2,216.0,10,75,1575.9,2285.05,2056.55
0270D01187S SVC COIL CAPEA4830C4   ,1121.7,3.0,1.2,216.0,10,75,1422.7,2062.92,1856.62
0270D01188S SVC COIL CAPEA6030D4   ,1198.86,3.0,1.2,216.0,10,75,1499.86,2174.8,1957.32
0270D01683S SVC COIL CHPTA1822A4   ,723.57,3.0,1.2,216.0,10,75,1024.57,1485.63,1337.06
0270D01688S SVC COIL CHPTA3026C4   ,888.92,3.0,1.2,216.0,10,75,1189.92,1725.38,1552.85
0270D01689S SVC COIL CHPTA3630B4   ,961.95,3.0,1.2,216.0,10,75,1262.95,1831.28,1648.15
0270D01690S SVC COIL CHPTA3630C4   ,989.62,3.0,1.2,216.0,10,75,1290.62,1871.4,1684.26
0270D01705S SVC COIL CAUFA1714B6   ,364.32,3.0,1.2,216.0,10,75,665.32,964.71,868.24
0270D01724S SVC COIL CAUF1714A6    ,359.83,3.0,1.2,216.0,10,75,660.83,958.2,862.38
0270D01760S SVC COIL CAPEA1818B4   ,894.89,3.0,1.2,216.0,10,75,1195.89,1734.04,1560.64
0270D01763S SVC COIL CAPEA2422B4   ,904.05,3.0,1.2,216.0,10,75,1205.05,1747.32,1572.59
0270D01764S SVC COIL CAPEA3026B4   ,985.87,3.0,1.2,216.0,10,75,1286.87,1865.96,1679.37
0270D01777S SVC COIL CA*FA1818B6   ,422.59,3.0,1.2,216.0,10,75,723.59,1049.21,944.28
0270D01779S SV COIL CA**26 24 30   ,468.38,3.0,1.2,216.0,10,75,769.38,1115.6,1004.04
0270D01783S SVC COIL CAPEA2422C4   ,921.6,3.0,1.2,216.0,10,75,1222.6,1772.77,1595.49
0270D01785S SVC COIL CAPEA3026C4   ,994.48,3.0,1.2,216.0,10,75,1295.48,1878.45,1690.6
0270D01786S SVC COIL CAPEA3026D4   ,1026.79,3.0,1.2,216.0,10,75,1327.79,1925.3,1732.77
0270D01791S SVC COIL CA*FA3526B6   ,459.22,3.0,1.2,216.0,10,75,760.22,1102.32,992.09
0270D01807S SVC COIL CAPTA4230C4   ,904.79,3.0,1.2,216.0,10,75,1205.79,1748.4,1573.56
0270D01811S SVC COIL CAP*A18 23    ,404.3,3.0,1.2,216.0,10,75,705.3,1022.68,920.42
0270D01812S SVC COIL CA**A24 18    ,424.65,3.0,1.2,216.0,10,75,725.65,1052.19,946.97
0270D01815S SV COIL CA**A24 29     ,467.62,3.0,1.2,216.0,10,75,768.62,1114.5,1003.05
0270D01816S SV COIL CA**A24 29     ,482.76,3.0,1.2,216.0,10,75,783.76,1136.45,1022.81
0270D01817S SVC COIL CAP*A3022D6   ,518.25,3.0,1.2,216.0,10,75,819.25,1187.91,1069.12
0270D01820S SVC COIL CAP*A35 36C   ,599.35,3.0,1.2,216.0,10,75,900.35,1305.51,1174.96
0270F00932S HEAT EXCHANGER         ,157.65,1.0,1.0,60.0,10,75,302.65,438.84,394.96
0270F00933S SRV PCK HT EXCHANGER   ,169.75,1.0,1.0,60.0,10,75,314.75,456.39,410.75
0270F00934S HEAT EXCHANGER         ,203.9,1.0,1.0,60.0,10,75,348.9,505.9,455.31
0270F01119 ALTERNATE SIDE VENT     ,12.63,1.0,1.0,60.0,10,75,157.63,228.56,205.71
0270F03138 DRAIN KIT               ,14.91,1.0,1.0,60.0,10,75,159.91,231.87,208.68
0270F03140 DRAIN PT BAG ASSY UF    ,33.51,1.0,1.0,60.0,10,75,178.51,258.84,232.96
0270F04115 DRAIN KIT ASSY UF       ,19.78,1.0,1.0,60.0,10,75,164.78,238.93,215.04
0270F05248 HORZ DRAIN KIT ASMBLY   ,13.38,1.0,1.0,60.0,10,75,158.38,229.65,206.69
0270F05249 DRAIN KIT ASSY          ,10.61,1.0,1.0,60.0,10,75,155.61,225.63,203.07
0270F05404 HORZ DRAIN KIT UPFLOW   ,0.02,1.0,1.0,60.0,10,75,145.02,210.28,189.25
0270F05405 HORZ DRAIN KIT COUNTR   ,0.02,1.0,1.0,60.0,10,75,145.02,210.28,189.25
0270F20723 DRAIN KIT ASSY          ,0.02,1.0,1.0,60.0,10,75,145.02,210.28,189.25
0270G00070S FLUE HOOD ASSY         ,87.07,1.0,1.0,60.0,10,75,232.07,336.5,302.85
0270K00012 DRAIN KIT               ,53.53,1.0,1.0,60.0,10,75,198.53,287.87,259.08
0270K20002 FRESH AIR FTG 80 AFUE   ,9.24,1.0,1.0,60.0,10,75,154.24,223.65,201.28
0270L00015 CNCNTRC DIFFUSER 7.5-   ,1217.46,1.0,1.0,60.0,10,75,1362.46,1975.57,1778.01
0270L00072S HEAT EXCHANGER         ,459.02,1.0,1.0,60.0,10,75,604.02,875.83,788.25
0270L00105S HEAT EXCHANGER         ,483.63,1.0,1.0,60.0,10,75,628.63,911.51,820.36
0270L00934S FILTER ACCESS PANEL    ,106.27,0.5,1.0,30.0,10,75,221.27,320.84,288.76
0270L01166 MNL FRESH AIR DAMPER    ,379.08,1.0,1.0,60.0,10,75,524.08,759.92,683.92
0270L01335 CNCNTRC ADAP KIT 3T     ,835.06,1.0,1.0,60.0,10,75,980.06,1421.09,1278.98
0270L01336 CNCNTRC ADAP KIT 7.5-   ,676.51,1.0,1.0,60.0,10,75,821.51,1191.19,1072.07
0270L01338 CNCNTRC ADAP KIT 3-6T   ,867.84,1.0,1.0,60.0,10,75,1012.84,1468.62,1321.76
"0270L01602 CONCENTRIC 16"" 3 TON    ",1341.41,1.0,1.0,60.0,10,75,1486.41,2155.29,1939.77
0270L01704S FILTER PANEL          ,206.05,0.5,1.0,30.0,10,75,321.05,465.52,418.97
0270L01768 CNCNTRC ADAP KIT 10T    ,748.33,1.0,1.0,60.0,10,75,893.33,1295.33,1165.8
0270R00343LGBS LOUVER PANEL        ,126.0,1.0,1.0,60.0,10,75,271.0,392.95,353.66
0271A00013S BLR HSG                ,58.16,1.0,1.0,60.0,10,75,203.16,294.58,265.12
0271A00013SLP BLOWER SHELL 11X10   ,84.1,1.0,1.0,60.0,10,75,229.1,332.2,298.98
0271A00016S BLOWER SHELL           ,61.75,1.0,1.0,60.0,10,75,206.75,299.79,269.81
0271A00022S BLOWER ASSY 10X8       ,50.43,1.0,1.0,60.0,10,75,195.43,283.37,255.04
0271A00029S BLOWER HOUSING ASSY    ,40.65,1.0,1.0,60.0,10,75,185.65,269.19,242.27
0271A00205S BLOWER ASSY            ,106.18,1.0,1.0,60.0,10,75,251.18,364.21,327.79
0271A00206S BLOWER HOUSING+WHEEL   ,180.87,1.0,1.0,60.0,10,75,325.87,472.51,425.26
0271A00497S BLOWER SHELL           ,135.85,1.0,1.0,60.0,10,75,280.85,407.23,366.51
0271A00498S BLOWER SHELL ASSMBLY   ,136.73,1.0,1.0,60.0,10,75,281.73,408.51,367.66
0271F00001PS BLOWER HSG ASSY       ,169.59,1.0,1.0,60.0,10,75,314.59,456.16,410.54
0271F00003PS BLOWER SHELL          ,147.73,1.0,1.0,60.0,10,75,292.73,424.46,382.01
0271F00112S BLOWER HOUSING         ,65.44,1.0,1.0,60.0,10,75,210.44,305.14,274.62
0271F00119S ID BLOWER ASSY         ,340.48,1.0,1.0,60.0,10,75,485.48,703.95,633.55
0271F00126S ID BLOWER ASSEMBLY     ,172.87,1.0,1.0,60.0,10,75,317.87,460.91,414.82
0271F00159S BLWR SHELL/WHEEL ASY   ,172.1,1.0,1.0,60.0,10,75,317.1,459.8,413.82
0271F00161S BLWR SHELL/WHEEL ASY   ,214.21,1.0,1.0,60.0,10,75,359.21,520.85,468.77
0271F00163S BLWR SHELL/WHEEL ASY   ,199.1,1.0,1.0,60.0,10,75,344.1,498.94,449.05
0271F00182S BLOWER HSG ASSY        ,127.84,1.0,1.0,60.0,10,75,272.84,395.62,356.06
0271F00508S BLOWER SHELL & WHEEL   ,158.05,1.0,1.0,60.0,10,75,303.05,439.42,395.48
0271G00024S BLOWER SHELL           ,91.63,1.0,1.0,60.0,10,75,236.63,343.11,308.8
0271G00025 BLOWER HOUSING          ,76.03,1.0,1.0,60.0,10,75,221.03,320.49,288.44
0271L00005 BLOWER ASSY             ,442.0,1.0,1.0,60.0,10,75,587.0,851.15,766.04
0271L00342S BLOWER SHELL 11X10     ,127.87,1.0,1.0,60.0,10,75,272.87,395.66,356.1
0272R01043S CONTROL BRD            ,525.37,1.0,1.0,60.0,10,75,670.37,972.04,874.83
0275P00024S HTR ASSY 3.7KW 265V    ,100.55,1.0,1.0,60.0,10,75,245.55,356.05,320.44
0275P00066S HEATER ASSY            ,127.84,1.0,1.0,60.0,10,75,272.84,395.62,356.06
03-77429 VBLOWER WHEEL             ,155.89,1.0,1.0,60.0,10,75,300.89,436.29,392.66
04-02196 BEARING & FRAME ASMBLY    ,33.7,1.0,1.0,60.0,10,75,178.7,259.11,233.2
04-11525 BLOWER SHAFT              ,43.16,1.0,1.0,60.0,10,75,188.16,272.83,245.55
042396J RETAINER THERMOSTAT        ,1.78,1.0,1.1,66.0,10,75,152.78,221.53,199.38
10 KW HEAT ELEMENT                 ,362.89,1.0,1.0,60.0,10,75,507.89,736.44,662.8
10030904 DEFROST CONTROL           ,14.87,1.0,1.0,60.0,10,75,159.87,231.81,208.63
10030915 CONTROL DEF 30/60 AMANA   ,14.48,1.0,1.0,60.0,10,75,159.48,231.25,208.12
10123501 LIMIT                     ,13.43,1.0,1.0,60.0,10,75,158.43,229.72,206.75
10123502 ROLL OUT SWITCH           ,4.51,1.0,1.0,60.0,10,75,149.51,216.79,195.11
10123504 RESET LIMIT               ,5.35,1.0,1.0,60.0,10,75,150.35,218.01,196.21
10123512 RESET LIMIT               ,7.7,1.0,1.0,60.0,10,75,152.7,221.41,199.27
10123517 RESET LIMIT               ,5.11,1.0,1.0,60.0,10,75,150.11,217.66,195.89
10123517S LIMIT                    ,1.76,1.0,1.0,60.0,10,75,146.76,212.8,191.52
10123517SP LIMIT RESET MAN-WHITE   ,5.11,1.0,1.0,60.0,10,75,150.11,217.66,195.89
10123518 RESET LIMIT               ,5.9,1.0,1.0,60.0,10,75,150.9,218.8,196.92
10123519 RESET LIMIT               ,6.84,1.0,1.0,60.0,10,75,151.84,220.17,198.15
10123519SP LIMIT RESET MAN         ,5.9,1.0,1.0,60.0,10,75,150.9,218.8,196.92
10123527 MANUAL RESET SWITCH       ,7.09,1.0,1.0,60.0,10,75,152.09,220.53,198.48
10123527SP LIMIT RESET MAN BROWN   ,6.57,1.0,1.0,60.0,10,75,151.57,219.78,197.8
10123528SP LIMIT MAN RESET RED     ,4.92,1.0,1.0,60.0,10,75,149.92,217.38,195.65
10123529/10123510 RESET LIMIT      ,6.4,1.0,1.0,60.0,10,75,151.4,219.53,197.58
10123529SP LIMIT RESET MAN         ,6.4,1.0,1.0,60.0,10,75,151.4,219.53,197.58
10123530 LIMIT-RESET MAN           ,47.65,1.0,1.0,60.0,10,75,192.65,279.34,251.41
10123530SP LIMIT RESET MAN LIGHT   ,41.15,1.0,1.0,60.0,10,75,186.15,269.92,242.93
10123531 RESET LIMIT               ,15.52,1.0,1.0,60.0,10,75,160.52,232.75,209.48
10123531SP LIMIT RESET PURPLE      ,18.3,1.0,1.0,60.0,10,75,163.3,236.78,213.11
10123532  RESET LIMIT              ,8.13,1.0,1.0,60.0,10,75,153.13,222.04,199.83
10123532SP  LIMIT SWITCH           ,7.46,1.0,1.0,60.0,10,75,152.46,221.07,198.96
10123533 RESET LIMIT               ,7.69,1.0,1.0,60.0,10,75,152.69,221.4,199.26
10123533SP LIMIT RESET YELLOW      ,6.63,1.0,1.0,60.0,10,75,151.63,219.86,197.88
10123534 RESET LIMIT               ,5.63,1.0,1.0,60.0,10,75,150.63,218.41,196.57
10123534SP LIMIT RESET MAN ORANG   ,5.63,1.0,1.0,60.0,10,75,150.63,218.41,196.57
