Description,Parts Cost,Estimated Hours,Complexity Multiplier,Adjusted Labor Cost,Truck Fee,Roof Access Fee,Total Base Cost,Flat Rate (Non-Contract),Flat Rate (PM Contract)
0130F00505 PRESSURE SWITCH         ,14.2,1.0,1.0,60.0,10,75,159.2,230.84,207.76
0130F00505S PRESSURE SWITCH        ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
0130F00506 PRESSURE SWITCH         ,13.5,1.0,1.0,60.0,10,75,158.5,229.82,206.84
0130F00506S PRESSURE SWITCH        ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
0130F00507 PRESSURE SWITCH         ,13.81,1.0,1.0,60.0,10,75,158.81,230.27,207.25
0130F00507S PRESSURE SWITCH        ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
0130F00508 DUAL STAGE PRESSURE     ,25.94,1.0,1.0,60.0,10,75,170.94,247.86,223.08
0130F00509 PRESSURE SWITCH         ,28.52,1.0,1.0,60.0,10,75,173.52,251.6,226.44
0130F00569 PRESSURE SWITCH         ,35.48,1.0,1.0,60.0,10,75,180.48,261.7,235.53
0130F00571 PRESSURE SWITCH         ,34.85,1.0,1.0,60.0,10,75,179.85,260.78,234.7
0130F00574 PRESSURE SWITCH FER     ,30.26,1.0,1.0,60.0,10,75,175.26,254.13,228.71
0130F00641S PRESSURE SWITCH        ,30.87,1.0,1.0,60.0,10,75,175.87,255.01,229.51
0130F00642S PRESSURE SWITCH        ,30.87,1.0,1.0,60.0,10,75,175.87,255.01,229.51
0130F00643 PRESSURE SWITCH         ,38.02,1.0,1.0,60.0,10,75,183.02,265.38,238.84
0130F00643S PRESSURE SWITCH        ,38.02,1.0,1.0,60.0,10,75,183.02,265.38,238.84
0130F00646 PRESSURE SWITCH         ,14.87,1.0,1.0,60.0,10,75,159.87,231.81,208.63
0130F00646S PRESSURE SWITCH        ,15.7,1.0,1.0,60.0,10,75,160.7,233.02,209.71
0130F00647 PRESSURE SWITCH         ,14.87,1.0,1.0,60.0,10,75,159.87,231.81,208.63
0130F00647SP PRESSURE SWITCH       ,12.83,1.0,1.0,60.0,10,75,157.83,228.85,205.97
0130F00792 AIR PRESSURE SWITCH     ,29.65,1.0,1.0,60.0,10,75,174.65,253.24,227.92
0130F00956 PRESSURE SWITCH         ,66.06,1.0,1.0,60.0,10,75,211.06,306.04,275.43
0130F00957 PRESSURE SWITCH         ,55.52,1.0,1.0,60.0,10,75,200.52,290.75,261.68
0130G00004 LOW PRESSURE SWITCH     ,23.15,1.0,1.0,60.0,10,75,168.15,243.82,219.44
0130G00006 HI-PRESSURE             ,31.72,1.0,1.0,60.0,10,75,176.72,256.24,230.62
0130L00002S LOW PRESSURE SWITCH    ,17.74,1.0,1.0,60.0,10,75,162.74,235.97,212.38
0130L00003 LOW PRESSURE SWITCH     ,29.07,1.0,1.0,60.0,10,75,174.07,252.4,227.16
0130L00007 LO PRESSURE SWITCH      ,29.8,1.0,1.0,60.0,10,75,174.8,253.46,228.11
0130L00017S CC HTR 70W 240V        ,24.45,1.0,1.0,60.0,10,75,169.45,245.7,221.13
0130L00205S TRANSFORMER DFH1203    ,55.39,1.0,1.0,60.0,10,75,200.39,290.57,261.51
0130M00009P DEFROST T-STAT         ,23.08,1.0,1.0,60.0,10,75,168.08,243.72,219.34
0130M00011P THERMOSTAT LOW AMBIE   ,28.14,1.0,1.1,66.0,10,75,179.14,259.75,233.78
0130M00013 LOW PRESSURE SWITCH     ,15.81,1.0,1.0,60.0,10,75,160.81,233.17,209.86
0130M00014 RELAY 240V              ,29.15,1.0,1.0,60.0,10,75,174.15,252.52,227.27
0130M00018S HIGH PRESSURE SWITCH   ,19.13,1.0,1.0,60.0,10,75,164.13,237.99,214.19
0130M00025S RELAY                  ,17.98,1.0,1.0,60.0,10,75,162.98,236.32,212.69
0130M00025SP RELAY                 ,40.44,1.0,1.0,60.0,10,75,185.44,268.89,242.0
0130M00030 HIGH PRESURE SWITCH     ,17.25,1.0,1.0,60.0,10,75,162.25,235.26,211.74
0130M00030S HIGH PRESSURE SWITCH   ,26.87,1.0,1.0,60.0,10,75,171.87,249.21,224.29
0130M00031S HIGH PRESSURE SWITCH   ,29.07,1.0,1.0,60.0,10,75,174.07,252.4,227.16
0130M00055 HI PRESSURE SWITCH      ,30.19,1.0,1.0,60.0,10,75,175.19,254.03,228.62
0130M00055SP HIGH PRESS SWITCH     ,22.33,1.0,1.0,60.0,10,75,167.33,242.63,218.37
0130M00063 PRIMARY LIMIT 140DEG    ,3.3,1.0,1.0,60.0,10,75,148.3,215.04,193.53
0130M00074 HIGH PRESSURE SWITCH    ,16.56,1.0,1.0,60.0,10,75,161.56,234.26,210.84
0130M00074S HIGH PRESSURE SWITCH   ,35.67,1.0,1.0,60.0,10,75,180.67,261.97,235.77
0130M00075 LOW PRESSURE SWITCH     ,23.15,1.0,1.0,60.0,10,75,168.15,243.82,219.44
0130M00075S LOW PRESSURE SWITCH    ,36.37,1.0,1.0,60.0,10,75,181.37,262.99,236.69
0130M00075SP LOW PRESSURE SWITCH   ,18.72,1.0,1.0,60.0,10,75,163.72,237.39,213.65
0130M00082 LOW PRESSURE SWITCH     ,25.04,1.0,1.0,60.0,10,75,170.04,246.56,221.9
